NO,Kode Accurate,NAMA BARANG,STATUS,CP,SP,PRICE,TANGGAL UPDATE,KATEGORI,NAMA BRAND,Stok Sistem,NON AKTIF
2359,2506000017,NEW MONITOR ASUS ROG SWIFT OLED PG32UCDM 31.5 INCH 240HZ,KOSONG,,,,,"MONITOR 32""",ASUS,,TIDAK
2360,2508000333,"NEW MONITOR ASUS TUF GAMING VG249Q5R 24"" FULL HD IPS - 90LM0BT0-B01E11",READY,"Rp1.465.000,00","Rp1.720.000,00","Rp1.600.000,00",16/12/2025,"MONITOR 24""",ASUS,4,TIDAK
2361,2504000396,NEW MONITOR ASUS TUF GAMING VG259Q3A FLAT 24.5 Inch FHD 180Hz,READY,"Rp1.450.000,00","Rp2.050.000,00","Rp1.600.000,00",16/12/2025,"MONITOR 25""",ASUS,1,TIDAK
2362,2509000255,"NEW MONITOR ASUS TUF GAMING VG27AQ5A 27"" QHD 210HZ FAST IPS",READY,"Rp2.700.000,00","Rp2.900.000,00","Rp2.800.000,00",16/12/2025,"MONITOR 27""",ASUS,2,TIDAK
2363,2508000332,"NEW MONITOR ASUS TUF GAMING VG27AQL5A 27"" LED FAST IPS - 90LM0BM0-B01311",READY,"Rp2.820.000,00","Rp3.340.000,00","Rp3.000.000,00",16/12/2025,"MONITOR 27""",ASUS,2,TIDAK
2364,2503000658,NEW MONITOR ASUS TUF GAMING VG34VQ3B 34 INCH FHD 180Hz,KOSONG,,,,,"MONITOR 34""",ASUS,,TIDAK
2365,2511000095,"NEW MONITOR DELL P2425H 24"" IPS FHD 100HZ DP USB-C 3YR",KOSONG,,,,,"MONITOR 24""",DELL,,TIDAK
2366,2511000112,"NEW MONITOR DELL P2425HE USB-C 24"" FULL HD IPS FLAT PANEL",KOSONG,,,,,"MONITOR 24""",DELL,,TIDAK
2367,2511000119,"NEW MONITOR DIGITAL ALLIANCE DA20 RE100 20"" HD+ 100HZ",KOSONG,,,,,"MONITOR 20""",DIGITAL ALLIANCE,,TIDAK
2368,2511000121,"NEW MONITOR DIGITAL ALLIANCE DA22 BAS100T 22"" FHD 100HZ",READY,"Rp752.252,00","Rp935.000,00","Rp830.000,00",30/12/2025,"MONITOR 22""",DIGITAL ALLIANCE,15,TIDAK
